_id,season,player,pos,age,experience,tm,trb_per_game,ast_per_game,stl_per_game,blk_per_game,pts_per_game
66642cfab27c93a6817a063a,2010,John Salmons,SG,30,8,TOT,3.3,2.8,1.2,0.3,15.4
66642cfab27c93a6817a063b,2010,John Salmons,SG,30,8,CHI,3.4,2.5,1.3,0.4,12.7
66642cfab27c93a6817a063c,2010,John Salmons,SG,30,8,MIL,3.2,3.3,1.1,0.1,19.9
66642cfab27c93a6817a063d,2010,Jon Brockman,PF,22,1,SAC,4.1,0.4,0.3,0.1,2.8
66642cfab27c93a6817a063e,2010,Jonas Jerebko,PF,22,1,DET,6,0.7,1,0.4,9.3
66642cfab27c93a6817a063f,2010,Jonathan Bender,SF,29,8,NYK,2.1,0.6,0.1,0.7,4.7
66642cfab27c93a6817a0640,2010,Jonny Flynn,PG,20,1,MIN,2.4,4.4,1,0,13.5
66642cfab27c93a6817a0641,2010,Jordan Farmar,PG,23,4,LAL,1.6,1.5,0.6,0.1,7.2
66642cfab27c93a6817a0642,2010,Jordan Hill,PF,22,1,TOT,3.7,0.4,0.3,0.4,5.2
66642cfab27c93a6817a0643,2010,Jordan Hill,PF,22,1,NYK,2.5,0.3,0.4,0.4,4
66642cfab27c93a6817a0644,2010,Jordan Hill,PF,22,1,HOU,5,0.6,0.2,0.5,6.4
66642cfab27c93a6817a0645,2010,Josh Boone,PF,25,4,NJN,5,0.5,0.5,0.8,4
66642cfab27c93a6817a0646,2010,Josh Howard,SF,29,7,TOT,3.6,1.4,0.7,0.3,12.7
66642cfab27c93a6817a0647,2010,Josh Howard,SF,29,7,DAL,3.6,1.4,0.7,0.3,12.5
66642cfab27c93a6817a0648,2010,Josh Howard,SF,29,7,WAS,3.3,1,0.8,0.5,14.5
66642cfab27c93a6817a0649,2010,Josh McRoberts,C,22,3,IND,3,1,0.4,0.4,4.3
66642cfab27c93a6817a064a,2010,Josh Powell,PF,27,5,LAL,1.8,0.6,0.1,0.1,2.7
66642cfab27c93a6817a064b,2010,Josh Smith,PF,24,6,ATL,8.7,4.2,1.6,2.1,15.7
66642cfab27c93a6817a064c,2010,José Calderón,PG,28,5,TOR,2.1,5.9,0.7,0.1,10.3
66642cfab27c93a6817a064d,2010,Jrue Holiday,PG,19,1,PHI,2.6,3.8,1.1,0.2,8
